id_igralca,ime,trenutna_aktivnost,ekipa,stevilo_igranih_iger,minute_na_parketu_na_igro,tocke_na_igro,zadeti_meti_na_igro,poskusi_meta_na_kos_na_igro,procent_zadetih_metov_na_kos,zadeti_meti_za_tri_tocke_na_igro,poskusi_meta_za_tri_tocke_na_igro,procent_zadetih_metov_za_tri_tocke,zadeti_prosti_meti_na_igro,poskusi_prostega_meta_na_igro,procent_zadetih_prostih_metov,napadalni_skoki_na_igro,obrambni_skoki_na_igro,skoki_na_igro,asistence_na_igro,ukradene_zoge_na_igro,blokade_na_igro,izgubljene_zoge_na_igro,osebne_napake_na_igro
1192,Michael Jordan,Ne,-,1072,38.3,30.1,11.4,22.9,0.497,0.5,1.7,0.327,6.8,8.2,0.835,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6
65950,Wilt Chamberlain,Ne,-,1045,45.8,30.1,12.1,22.5,0.54,0.0,0.0,0.0,5.8,11.4,0.511,0.0,0.0,22.9,4.4,0.0,0.0,0.0,2.0
65978,Elgin Baylor,Ne,LAL,846,40.0,27.4,10.3,23.8,0.431,0.0,0.0,0.0,6.8,8.7,0.78,0.0,0.0,13.5,4.3,0.0,0.0,0.0,3.1
34,Kevin Durant,Da,-,942,36.7,27.2,9.3,18.7,0.496,1.9,4.9,0.384,6.7,7.6,0.884,0.7,6.4,7.1,4.3,1.1,1.1,3.2,1.9
250,LeBron James,Da,-,1369,38.2,27.1,9.9,19.6,0.505,1.6,4.5,0.346,5.7,7.8,0.734,1.2,6.3,7.5,7.4,1.6,0.8,3.5,1.8
65953,Jerry West,Ne,LAL,932,39.2,27.0,9.7,20.4,0.474,0.0,0.0,0.0,7.7,9.4,0.814,1.0,2.8,5.8,6.7,2.6,0.7,0.0,2.6
603,Allen Iverson,Ne,-,914,41.1,26.7,9.3,21.8,0.425,1.2,3.7,0.313,7.0,8.9,0.78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9
54148,Luka Doncic,Da,DAL,267,33.8,26.5,9.0,19.7,0.458,2.8,8.3,0.336,5.6,7.6,0.739,1.0,7.5,8.6,8.0,1.1,0.4,4.1,2.2
65977,Bob Pettit,Ne,ATL,792,38.8,26.4,9.3,21.3,0.436,0.0,0.0,0.0,7.8,10.3,0.761,0.0,0.0,16.2,3.0,0.0,0.0,0.0,3.2
4652,George Gervin,Ne,-,791,33.5,26.2,10.2,19.9,0.511,0.1,0.5,0.297,5.7,6.8,0.844,1.5,3.1,4.6,2.8,1.2,0.8,3.0,2.9
49880,Joel Embiid,Da,PHI,332,31.3,26.0,8.5,17.5,0.489,1.2,3.5,0.336,7.8,9.6,0.81,2.3,9.1,11.4,3.3,0.9,1.7,3.4,3.1
65962,Oscar Robertson,Ne,-,1040,42.2,25.7,9.1,18.9,0.485,0.0,0.0,0.0,7.4,8.8,0.838,1.0,3.0,7.5,9.5,1.1,0.1,0.0,2.8
88934,Trae Young,Da,ATL,283,33.6,25.3,8.1,18.5,0.438,2.6,7.4,0.353,6.5,7.4,0.874,0.7,3.2,3.9,9.1,0.9,0.2,4.1,1.7
750,Karl Malone,Ne,-,1476,37.2,25.0,9.2,17.8,0.516,0.1,0.2,0.274,6.6,8.9,0.742,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1
613,Kobe Bryant,Ne,LAL,1346,36.1,25.0,8.7,19.5,0.447,1.4,4.1,0.329,6.2,7.4,0.837,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5
