id_igralca,ime,trenutna_aktivnost,ekipa,dvojni_dvojcek,trojni_dvojcek,40+_tock,20+_skokov,20+_asistenc,5+_ukradenih_zog,5+_blokov,max_tock_v_igri,stevilo_tehnicnih_napak,hands_on_bucket_HOB,asistence_proti_izgubljenim_zogam,ukradene_zoge_proti_izgubljenim,prosti_meti_proti_poskuom_meta_na_kos,zmage,porazi,procent_zmag
272,Tim Duncan,Ne,SAS,841,4,5,26,0,3,124,53,55,0.281,1.2,0.3,0.4,1001,391,0.719
750,Karl Malone,Ne,-,814,4,44,12,0,29,5,61,19,0.329,1.2,0.5,0.5,952,524,0.645
1177,Hakeem Olajuwon,Ne,-,764,14,32,48,0,73,270,52,0,0.279,0.8,0.6,0.4,732,506,0.591
376,Dwight Howard,Ne,-,748,1,4,82,0,5,78,45,177,0.187,0.5,0.3,0.8,712,530,0.573
644,Kevin Garnett,Ne,-,742,16,4,36,0,16,40,47,119,0.294,1.7,0.6,0.3,825,637,0.564
755,Shaquille O'Neal,Ne,-,727,2,49,35,0,3,132,61,57,0.306,0.9,0.2,0.6,819,388,0.679
1237,John Stockton,Ne,UTA,714,0,0,0,34,136,0,34,1,0.39,3.7,0.8,0.4,953,551,0.634
1259,Charles Barkley,Ne,-,710,20,21,55,0,39,8,47,0,0.293,1.3,0.5,0.6,658,415,0.613
1297,Patrick Ewing,Ne,-,580,1,30,23,0,4,171,51,0,0.26,0.6,0.3,0.4,678,505,0.573
1234,David Robinson,Ne,SAS,544,14,22,14,0,17,214,71,3,0.261,1.0,0.6,0.6,673,314,0.682
515,Pau Gasol,Ne,-,532,10,3,8,0,0,45,46,32,0.26,1.5,0.2,0.4,673,553,0.549
250,LeBron James,Da,-,530,105,69,0,0,36,2,61,68,0.45,2.1,0.4,0.4,894,475,0.653
1465,Buck Williams,Ne,-,527,0,0,26,1,1,2,35,0,0.149,0.6,0.4,0.5,711,596,0.544
4631,Moses Malone,Ne,-,515,0,26,38,0,1,21,53,0,0.184,0.4,0.3,0.6,726,603,0.546
61,Chris Paul,Da,-,506,18,8,0,4,88,0,43,135,0.411,4.0,0.9,0.3,754,405,0.651
4618,Magic Johnson,Ne,LAL,505,101,6,0,22,17,0,46,0,0.365,2.9,0.5,0.5,670,236,0.74
165,Zach Randolph,Ne,-,488,1,3,15,0,1,1,43,53,0.231,0.9,0.4,0.3,561,555,0.503
302,Jason Kidd,Ne,-,487,107,2,0,2,68,0,43,14,0.359,3.0,0.7,0.3,812,579,0.584
342,Kevin Willis,Ne,-,487,0,0,37,0,5,1,39,5,0.153,0.5,0.4,0.3,760,664,0.534
759,Russell Westbrook,Da,-,479,194,50,4,8,33,0,58,161,0.418,2.1,0.4,0.4,598,426,0.584
184,Dikembe Mutombo,Ne,-,471,10,0,52,0,1,234,39,20,0.126,0.6,0.2,0.6,614,582,0.513
1404,Robert Parish,Ne,-,460,1,1,16,0,3,16,40,0,0.166,0.7,0.4,0.3,1014,597,0.629
760,Kevin Love,Da,-,457,3,11,19,0,0,0,51,20,0.212,1.2,0.3,0.4,375,440,0.46
24241,Andre Drummond,Da,-,454,0,0,88,0,14,26,33,84,0.186,0.7,0.7,0.4,324,398,0.449
840,Chris Webber,Ne,-,445,21,5,11,0,18,26,51,11,0.331,1.5,0.5,0.3,472,359,0.568
615,Steve Nash,Ne,-,436,3,2,0,8,1,0,42,41,0.346,3.0,0.3,0.3,764,453,0.628
546,Shawn Marion,Ne,-,427,0,1,5,0,41,18,44,9,0.212,1.3,1.0,0.2,692,471,0.595
731,Charles Oakley,Ne,-,427,3,0,22,0,9,1,35,5,0.163,1.2,0.5,0.3,717,565,0.559
6925,Nikola Vucevic,Da,-,420,4,3,12,0,3,2,43,46,0.257,1.6,0.5,0.1,295,450,0.396
308,Dirk Nowitzki,Ne,DAL,411,2,20,7,0,4,11,53,113,0.256,1.5,0.5,0.3,916,606,0.602
544,Elton Brand,Ne,-,408,1,2,8,0,3,60,44,25,0.231,1.1,0.5,0.4,445,613,0.421
1295,Otis Thorpe,Ne,-,407,3,1,12,0,1,0,40,0,0.193,1.0,0.3,0.4,632,625,0.503
1078,Shawn Kemp,Ne,-,404,1,1,5,0,10,27,42,2,0.178,0.6,0.4,0.5,633,418,0.602
486,Carlos Boozer,Ne,-,401,1,2,10,0,3,0,41,34,0.245,1.1,0.4,0.3,456,405,0.53
4612,Isiah Thomas,Ne,DET,396,2,10,0,9,21,0,47,0,0.386,2.5,0.5,0.3,567,412,0.579
4648,Bill Laimbeer,Ne,-,377,0,0,30,0,1,2,35,0,0.158,1.4,0.4,0.3,601,467,0.563
66,LaMarcus Aldridge,Ne,-,354,0,8,5,0,1,16,56,21,0.251,1.3,0.5,0.3,632,444,0.587
25858,Rudy Gobert,Da,-,353,0,0,25,0,1,52,35,63,0.154,0.8,0.4,0.7,354,261,0.576
4617,Larry Bird,Ne,BOS,352,45,47,3,0,13,3,60,0,0.352,2.0,0.6,0.3,660,237,0.736
837,Derrick Coleman,Ne,-,347,4,1,8,0,3,16,42,3,0.229,1.0,0.3,0.4,351,430,0.449
2192,DeMarcus Cousins,Ne,-,347,9,13,18,0,14,13,56,151,0.257,0.9,0.4,0.4,284,370,0.434
384,Al Jefferson,Ne,-,344,0,4,8,0,0,14,40,24,0.221,1.1,0.5,0.2,394,521,0.431
164,David Lee,Ne,-,340,3,0,9,0,3,0,37,24,0.203,1.3,0.4,0.3,396,433,0.478
39311,Karl-Anthony Towns,Da,MIN,333,2,11,14,0,0,8,60,46,0.288,1.2,0.3,0.3,216,270,0.444
13305,Anthony Davis,Da,-,331,1,36,10,0,7,69,59,24,0.281,1.2,0.7,0.4,302,305,0.498
742,Alonzo Mourning,Ne,-,329,0,4,5,0,0,155,50,18,0.199,0.4,0.2,0.6,491,347,0.586
1109,Vlade Divac,Ne,-,328,8,0,6,0,14,37,34,14,0.196,1.4,0.5,0.4,711,423,0.627
802,DeAndre Jordan,Da,-,325,0,0,60,0,1,36,30,98,0.12,0.7,0.4,0.7,531,452,0.54
