id_igralca,ime,trenutna_aktivnost,ekipa,stevilo_igranih_iger,minute_na_parketu,dosezene_tocke,zadeti_meti_na_kos,poskusi_meta_na_kos,procent_zadetih_metov,zadeti_meti_za_tri_tocke,poskusi_meta_za_tri_tocke,procent_meta_za_tri_tocke,zadeti_prosti_meti,poskusi_prostega_meta,procent_zadetih_prostih_metov,napadalni_skok,obrambni_skok,skok,podaje,ukradene_zoge,blokade,izgubljene_zoge,osebne_napake
4629,Kareem Abdul-Jabbar,Ne,-,1560,57446.0,38387,15837,28307,0.559,1,18,0.056,6712,9304,0.721,2975,9393,17439,5660,1160,3189,2527,4657
250,LeBron James,Da,-,1369,52250.8,37144,13574,26889,0.505,2147,6213,0.346,7849,10690,0.734,1609,8634,10243,10067,2139,1045,4799,2524
750,Karl Malone,Ne,-,1476,54853.0,36928,13528,26210,0.516,85,310,0.274,9787,13188,0.742,3562,11406,14968,5248,2085,1143,4524,4577
613,Kobe Bryant,Ne,LAL,1346,48638.4,33643,11719,26200,0.447,1827,5546,0.329,8378,10011,0.837,1499,5548,7047,6306,1944,640,4010,3353
1192,Michael Jordan,Ne,-,1072,41013.0,32292,12192,24537,0.497,581,1778,0.327,7327,8772,0.835,1668,5004,6672,5633,2514,893,2924,2783
308,Dirk Nowitzki,Ne,DAL,1522,51371.7,31560,11169,23734,0.471,1982,5210,0.38,7240,8239,0.879,1468,10021,11489,3651,1210,1281,2494,3601
65950,Wilt Chamberlain,Ne,-,1045,47859.0,31419,12681,23497,0.54,0,0,0.0,6057,11862,0.511,0,0,23924,4643,0,0,0,2075
755,Shaquille O'Neal,Ne,-,1207,41916.9,28596,11330,19457,0.582,1,22,0.045,5935,11252,0.527,4209,8890,13099,3026,739,2732,3310,4146
452,Carmelo Anthony,Ne,-,1260,43512.7,28289,10119,22643,0.447,1731,4873,0.355,6320,7764,0.814,1983,5825,7808,3422,1223,644,3052,3543
4631,Moses Malone,Ne,-,1329,45059.0,27407,9435,19225,0.491,8,80,0.1,8529,11088,0.769,6731,9481,16212,1797,1090,1733,3800,3076
64278,Elvin Hayes,Ne,-,1303,50000.0,27313,10976,24272,0.452,5,34,0.147,5356,7999,0.67,2778,6973,16279,2398,864,1771,1358,4193
1177,Hakeem Olajuwon,Ne,-,1238,44222.0,26946,10749,20991,0.512,25,124,0.202,5423,7620,0.712,4034,9714,13748,3057,2163,3825,3668,4384
65962,Oscar Robertson,Ne,-,1040,43886.0,26710,9508,19620,0.485,0,0,0.0,7694,9185,0.838,71,208,7804,9887,77,4,0,2931
1360,Dominique Wilkins,Ne,-,1074,38113.0,26668,9963,21589,0.461,711,2232,0.319,6031,7438,0.811,2944,4223,7167,2677,1378,644,2670,2061
272,Tim Duncan,Ne,SAS,1392,47362.3,26496,10285,20334,0.506,30,168,0.179,5896,8468,0.696,3859,11232,15091,4225,1025,3020,3381,3304
